Q1,Q2,Q3,Q4,Q5,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q48,Q49,Q51,Q52,Q53,Q67,Q89
5,2,3,2,    E,2,1,1,1,2,1,1,1,1,2,6,1,1,1,1,1,1,1,1,1,1,1,3
7,2,3,1, ,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
5,1,3,1,A,1,6,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
6,1,3,1, ,2,1,1,1,1,1,1,1,1,3,5,2, , ,4,5,2,1,1,1,1,1,2
7,2,3,2,    E,2,1,1,1,2,1,1,1,1,3, , ,1, ,1,1,1,1,1,1,1,1,4
5,1,3,2,    E,1,4,1,1,1, , ,1,1,6,2,3,3,7,1,1,1,1,1,1,1,1,2
5,2,3,2,    E,2,1,1,1,2,1,1, , , , , , , , , , , , , , ,1,3
7,1,4,2,    E,2,1,1,1,2,1,1,1,1,4,6, ,1, ,4,7,2,1,1,1,1,1,2
6,1,3,2,    E,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
6,2,3,1, ,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
5,2,3,2,    E,1,6,2,2,1,5,6,1,2,5,6,4,3,6,1,1,1,1,1,1,1,1,2
5,1,3,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
5,2,3,2,    E,2,1,1,1,1, , ,1,1,3,6, , , ,1,1,1,1,1,1,1,1,3
6,2,3,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
6,1,3,1, ,2,1,1,1,1, , ,1,1,2,5,2,1,2,1,1,1,1,1,1,1,1,2
5,2,3,2,  C,2,1,1,1,1, , ,1,1,2,5, ,1, ,1,1,1,1,1,1,1,1,3
