Q1,Q2,Q3,Q4,Q5,Q32,Q34,Q35,Q36,Q44,Q48,Q49,Q51,Q52,Q53,Q67,Q89
5,2,3,2,E,1,2,1,1,1,1,1,1,1,1,1,3
7,2,3,1,,1,2,1,1,1,1,1,1,1,1,1,3
5,1,3,1,A,1,2,1,1,1,1,1,1,1,1,1,2
6,1,3,1,,1,1,1,1,#NULL!,2,1,1,1,1,1,2
7,2,3,2,E,1,2,1,1,1,1,1,1,1,1,1,4
5,1,3,2,E,1,1,#NULL!,#NULL!,3,1,1,1,1,1,1,2
5,2,3,2,E,1,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3
7,1,4,2,E,1,2,1,1,1,2,1,1,1,1,1,2
6,1,3,2,E,1,2,1,1,1,1,1,1,1,1,1,2
6,2,3,1,,1,2,1,1,1,1,1,1,1,1,1,2
5,2,3,2,E,2,1,5,6,3,1,1,1,1,1,1,2
5,1,3,2,C,1,2,1,1,1,1,1,1,1,1,1,2
5,2,3,2,E,1,1,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,3
6,2,3,2,C,1,2,1,1,1,1,1,1,1,1,1,2
6,1,3,1,,1,1,#NULL!,#NULL!,1,1,1,1,1,1,1,2
5,2,3,2,C,1,1,#NULL!,#NULL!,1,1,1,1,1,1,1,3
6,1,3,1,E,1,1,#NULL!,#NULL!,1,1,1,1,1,1,1,1
6,1,3,2,E,1,2,1,1,1,1,1,1,1,1,1,2
6,2,3,2,C,1,2,1,1,1,1,1,1,1,1,1,1
6,1,3,2,E,1,2,1,1,1,1,1,1,1,1,1,1
6,1,3,2,E,1,2,1,1,1,1,1,1,1,1,1,1
5,2,3,2,B,1,2,1,1,1,1,1,1,1,1,1,1
6,2,3,2,E,1,2,1,1,1,1,1,1,1,1,1,6
6,1,3,1,E,4,1,3,5,5,3,6,4,1,1,4,1
5,1,3,2,E,1,2,1,1,2,1,1,1,1,1,1,2
3,1,1,2,E,1,2,1,1,1,1,1,1,1,1,1,2
3,#NULL!,1,2,E,1,2,1,1,1,1,1,1,1,1,4,#NULL!
4,1,1,1,,1,2,1,1,1,1,1,1,1,1,1,2
3,2,1,2,C,1,1,3,8,#NULL!,1,1,1,1,1,1,2
7,2,1,1,,1,2,1,1,1,1,1,1,1,1,1,1
4,2,1,1,,1,2,1,1,1,1,1,1,1,1,4,2
3,1,1,2,C,1,2,1,1,1,1,1,1,1,1,1,2
3,1,1,1,,1,2,1,1,1,1,1,1,1,1,1,2
